State,District,Latitude,Longitude,District Code,Population,Households with Internet,Total Workers,Cultivator Workers,Agricultural Workers,Household Workers,Households with Electric Lighting,Households with Internet,Households with Computer,Below Primary Education,Households with Bathing Facility,Households with Latrine Facility within Premises,Water Source Near Premises Households,Water Source Within Premises Households,Main Water Source: Tank/Pond/Lake Households,Main Water Source: Tapwater Households,Main Water Source: Tubewell/Borehole Households,Owned Households,Rented Households,Age Group 0-29,Age Group 30-49,Age Group 50+,Total Power Parity,Households with Internet,Sex ratio,Literacy rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,1323667,363737,484912,84661,566108,5512,45202,232470,378259,191052,212025,229686,1521,270862,79354,559211,77594,1536378,704551,422522,4181,5512,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,2036166,413253,879537,105343,897970,8606,48299,462273,755971,353948,528245,225275,201,819675,43685,779195,172680,2189396,1104565,739612,5799,8606,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,1933357,434544,748093,57269,944555,13763,67087,522961,754648,382377,539408,342011,494,835606,92651,815953,196720,2148179,1159053,807430,5926,13763,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,2093681,160407,1122046,57853,1297273,22411,93784,669420,869464,800168,558347,613789,5684,908806,40397,1088823,278383,2724328,1478954,948122,7211,22411,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,2381624,302341,1227956,47436,1186028,19383,80434,736270,904201,762845,465404,554667,5833,739450,73453,981115,276073,2583462,1371811,928462,6981,19383,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,1413297,28308,23029,46157,869721,149034,274653,230962,873099,868186,47880,814362,1196,862054,6139,437146,422826,2249130,1068243,542669,11071,149034,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,1876768,360390,756859,168340,926768,8831,46584,340372,675283,452865,197387,633350,299,681510,65437,823820,141432,1940234,1031735,728494,5251,8831,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,1410062,224972,804537,19799,668519,8628,42171,295639,403739,360531,240615,354579,889,468045,61127,616617,115379,1530602,774583,477955,3836,8628,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,2048880,150166,1006976,48444,1163932,30438,101450,618101,897201,863417,387804,611878,6592,903992,43371,863382,328243,2340943,1284630,833959,6983,30438,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,2029425,310954,1037302,60791,816721,10081,56478,521327,702120,353289,431425,227045,3297,696977,38696,710444,156505,2368684,1053618,609027,5301,10081,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,2082501,569142,931084,57846,757821,6153,60812,419379,508140,231015,329098,290371,774,681260,58931,800743,66068,2360874,1027525,637430,4695,6153,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,1442203,353221,571129,67642,604719,8635,47170,324267,421856,293838,228110,278173,386,494042,92845,570933,90125,1735769,779738,509368,3874,8635,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,1741693,325224,863131,45124,789225,7715,53777,369537,479824,355700,298874,347474,258,598439,66625,760789,103172,1932349,897137,651748,4468,7715,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,1261076,278102,448281,171311,545913,5261,35036,269487,428790,245523,218935,242762,823,450359,78420,490840,93887,1399773,676401,437573,3458,5261,104.0,54.0
